name,role,townHallLevel,trophies,donations
Smok GG,member,12,29,313
Renato649,member,11,191,0
raucho gamer,admin,11,66,837
NOBRU OFC,member,11,51,177
亗Betinha亗,coLeader,11,40,584
vilela,member,10,0,0
matheuss,member,10,139,613
loki,member,11,83,0
ProMaster2,admin,9,40,31
CEO da Yoki,leader,11,0,282
PriviaPlayer,member,11,0,0
Vitall,member,9,0,36
tavares,member,10,200,275
Kennedy,member,9,29,33
Gean Insano,member,9,176,140
Garena,member,9,109,0
joaopedro,member,9,75,0
Gojo7,member,9,74,0
Rato,member,10,0,0
Enderson vr,member,9,0,37
Katrina,coLeader,8,0,0
raichu gamer,member,9,0,57
RicardoVr,member,8,0,0
Muando Athanasi,member,9,87,0
godoy,member,9,34,0
pretoGui,member,9,0,0
Jø4øZzïNhØ,member,9,0,0
satorugozo,member,9,0,0
Elise Matsunaga,coLeader,9,0,65
Zeni0003,member,10,0,0
Christian_X,member,8,0,0
Elton,member,16,0,513
VitorOne,member,9,0,31
Fittiger,member,13,0,31
drakzin,member,9,0,0
maelrushada,coLeader,10,0,0
