name,role,townHallLevel,trophies,warStars,donations,donationsReceived,rei_nivel,rainha_nivel,guardiao_nivel
Smok GG,member,12,29,67,313,72,8,6,3
Renato649,member,11,191,3,0,0,25,25,6
raucho gamer,admin,11,66,142,837,346,32,31,10
NOBRU OFC,member,11,51,129,177,426,38,36,6
亗Betinha亗,coLeader,11,40,274,584,848,41,39,10
vilela,member,10,0,70,0,0,19,19,0
matheuss,member,10,139,26,613,324,24,21,0
loki,member,11,83,6,0,0,20,18,0
ProMaster2,admin,9,40,67,31,0,1,5,0
CEO da Yoki,leader,11,0,102,282,643,34,35,13
PriviaPlayer,member,11,0,74,0,0,20,21,5
Vitall,member,9,0,56,36,62,26,20,0
tavares,member,10,200,35,275,73,17,13,0
Kennedy,member,9,29,49,33,31,20,14,0
Gean Insano,member,9,176,33,140,340,13,13,0
Garena,member,9,109,0,0,0,30,27,0
joaopedro,member,9,75,8,0,0,15,10,0
Gojo7,member,9,74,0,0,0,9,4,0
Rato,member,10,0,28,0,31,30,30,0
Enderson vr,member,9,0,22,37,0,17,10,0
Katrina,coLeader,8,0,31,0,0,11,10,0
raichu gamer,member,9,0,34,57,250,19,17,0
RicardoVr,member,8,0,0,0,0,10,0,0
Muando Athanasi,member,9,87,7,0,26,10,9,0
godoy,member,9,34,7,0,0,15,11,0
pretoGui,member,9,0,9,0,0,13,10,0
Jø4øZzïNhØ,member,9,0,13,0,0,20,10,0
satorugozo,member,9,0,2,0,0,12,6,0
Elise Matsunaga,coLeader,9,0,35,65,253,18,12,0
Zeni0003,member,10,0,12,0,0,13,10,0
Christian_X,member,8,0,0,0,15,2,0,0
Elton,member,16,0,404,513,0,41,40,20
VitorOne,member,9,0,3,31,0,10,4,0
Fittiger,member,13,0,59,31,122,1,1,1
drakzin,member,9,0,0,0,0,10,7,0
maelrushada,coLeader,10,0,65,0,0,15,15,0
